GPT4_polarity,GPT4_sentiment,Gemini_polarity,Gemini_sentiment
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.65,Positive
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,-0.4,Negative
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.5,Positive
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,-0.75,Negative
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,-0.125,Negative
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,-0.125,Negative
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.35,Positive,0.0,Neutral
0.0,Neutral,0.5,Positive
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,-0.25,Negative
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.13636363636363635,Positive
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.3333333333333333,Positive
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.13636363636363635,Positive
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.2,Positive
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.3333333333333333,Positive
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.13636363636363635,Positive
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.13636363636363635,Positive,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,-0.35,Negative
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
