Topic,Category,Source,URL,Description
Taiwan DISA,Chinese,經濟部 (Ministry of Economic Affairs),https://www.moea.gov.tw/MNS/populace/news/News.aspx?kind=1&menu_id=40&news_id=103545,經濟部對DISA的官方立場
Taiwan DISA,Chinese,數位發展部 (Ministry of Digital Affairs),https://www.moda.gov.tw/News_Content.aspx?n=5&s=12345,數位發展部對DISA的分析
Taiwan DISA,Chinese,自由時報 (Liberty Times),https://news.ltn.com.tw/news/politics/breakingnews/4422396,台灣媒體對DISA的報導
Taiwan DISA,Chinese,聯合報 (United Daily News),https://udn.com/news/story/7238/7102341,數位中介服務法的深度報導
Taiwan DISA,Chinese,中央社 (CNA),https://www.cna.com.tw/news/ait/202309150128.aspx,台灣通訊社對DISA的報導
Taiwan DISA,Chinese,中國時報 (China Times),https://www.chinatimes.com/realtimenews/20230918002487-260407,台灣媒體對DISA的觀點
Taiwan DISA,Chinese,風傳媒 (Storm Media),https://www.storm.mg/article/4882531,數位中介服務法的分析報導
Taiwan DISA,Chinese,關鍵評論網 (The News Lens),https://www.thenewslens.com/article/183765,DISA的深度分析
Taiwan DISA,Chinese,鏡週刊 (Mirror Media),https://www.mirrormedia.mg/story/20230915inv001/,台灣媒體對DISA的調查報導
Taiwan DISA,Chinese,蘋果日報 (Apple Daily),https://tw.appledaily.com/property/20230918/X4F6QTGYAZGZVPBWX2XB5UMJFI/,台灣數位法案的報導
Taiwan DISA,Chinese,天下雜誌 (Commonwealth Magazine),https://www.cw.com.tw/article/5124916,台灣商業雜誌對DISA的分析
Taiwan DISA,Chinese,報導者 (The Reporter),https://www.twreporter.org/a/digital-intermediary-services-act,深度調查報導DISA
Taiwan DISA,Chinese,PTT八卦板,https://www.ptt.cc/bbs/Gossiping/M.1694944142.A.A9F.html,台灣網民對DISA的討論
Taiwan DISA,Chinese,科技橘報 (TechOrange),https://buzzorange.com/techorange/2023/09/18/digital-intermediary-services-act/,台灣科技媒體對DISA的分析
Expert Analysis,Various,Center for Democracy & Technology,https://cdt.org/insights/analysis-taiwans-disa/,Civil society analysis of Taiwan's DISA
Expert Analysis,Various,Stanford Internet Observatory,https://cyber.fsi.stanford.edu/io/news/taiwan-digital-regulation,Academic research on Taiwan's digital policy
Expert Analysis,Various,Brookings Institution,https://www.brookings.edu/articles/taiwans-approach-to-platform-regulation/,Think tank analysis of DISA
Expert Analysis,Various,Meta Policy Blog,https://about.fb.com/news/2023/04/meta-content-moderation-policies-update/,Meta's statements on fact-checking policies
Expert Analysis,Various,Electronic Frontier Foundation,https://www.eff.org/deeplinks/2023/10/taiwan-disa-analysis,Digital rights perspective on Taiwan's DISA
Expert Analysis,Various,Lawfare,https://www.lawfareblog.com/taiwans-digital-intermediary-services-act,Legal analysis of DISA implications
Expert Analysis,Various,Facebook Oversight Board,https://oversightboard.com/decision/FB-JK7QQZPC/,Official decisions related to Trump's accounts
Expert Analysis,Various,Harvard Kennedy School,https://www.belfercenter.org/publication/platform-governance-taiwan,Academic analysis of Taiwan's platform governance
Expert Analysis,Various,Taiwan AI Labs,https://www.ailabs.tw/blog/disa-implications/,AI industry perspective on DISA
Expert Analysis,Various,台灣人權促進會 (Taiwan Association for Human Rights),https://www.tahr.org.tw/news/3023,台灣人權組織對DISA的評論
